	precision	recall	f1-score	support
0	0.9178082191780822	0.9054054054054054	0.9115646258503401	74.0
1	0.9871794871794872	0.9625	0.9746835443037976	80.0
2	0.9629629629629629	0.9629629629629629	0.9629629629629629	27.0
3	0.9473684210526315	0.972972972972973	0.9599999999999999	185.0
4	0.9902439024390244	0.9950980392156863	0.9926650366748165	204.0
5	0.9465648854961832	0.9763779527559056	0.9612403100775194	127.0
6	1.0	0.9732142857142857	0.9864253393665159	112.0
7	0.8918918918918919	0.55	0.6804123711340206	60.0
8	0.9918032786885246	1.0	0.9958847736625513	121.0
9	0.845679012345679	0.9647887323943662	0.9013157894736843	142.0
10	0.9854014598540146	1.0	0.9926470588235294	135.0
11	0.9447852760736196	0.9625	0.9535603715170279	160.0
12	0.9657142857142857	0.9712643678160919	0.9684813753581661	174.0
13	1.0	0.9705882352941176	0.9850746268656716	102.0
14	0.9830508474576272	0.9666666666666667	0.9747899159663865	60.0
15	0.9969924812030075	0.9969924812030075	0.9969924812030075	665.0
16	0.9509433962264151	0.984375	0.9673704414587332	256.0
17	0.9772727272727273	0.9555555555555556	0.9662921348314608	45.0
18	0.978494623655914	0.8584905660377359	0.914572864321608	106.0
19	0.9735449735449735	0.9583333333333334	0.9658792650918635	192.0
20	0.96	0.9523809523809523	0.9561752988047808	126.0
21	0.8559322033898306	0.926605504587156	0.8898678414096917	109.0
22	1.0	0.7777777777777778	0.8750000000000001	18.0
23	1.0	0.9761904761904762	0.9879518072289156	42.0
24	0.9813664596273292	0.9968454258675079	0.9890453834115805	634.0
25	0.9947916666666666	0.9896373056994818	0.9922077922077923	193.0
26	1.0	0.9863945578231292	0.9931506849315068	147.0
27	1.0	0.9818181818181818	0.9908256880733944	55.0
28	0.9118773946360154	0.9596774193548387	0.9351669941060905	248.0
29	0.7222222222222222	0.7165354330708661	0.7193675889328063	127.0
30	0.9069767441860465	0.8590308370044053	0.8823529411764706	227.0
31	0.8962264150943396	0.8482142857142857	0.8715596330275229	112.0
32	0.8248847926267281	0.8564593301435407	0.84037558685446	209.0
33	0.9021739130434783	0.8783068783068783	0.8900804289544235	189.0
34	0.8152866242038217	0.8050314465408805	0.8101265822784811	159.0
35	0.9848484848484849	0.9803921568627451	0.9826152683295539	663.0
36	0.8979591836734694	0.9166666666666666	0.9072164948453607	48.0
37	0.9510869565217391	0.9615384615384616	0.9562841530054645	182.0
accuracy	0.9491941673062164	0.9491941673062164	0.9491941673062164	0.9491941673062164
macro avg	0.943245662973085	0.9278313067020085	0.9337417225400514	6515.0
weighted avg	0.9495813332644746	0.9491941673062164	0.9486832052752512	6515.0
