	precision	recall	f1-score	support
0	0.9375	0.8108108108108109	0.8695652173913043	74.0
1	0.9506172839506173	0.9625	0.9565217391304348	80.0
2	0.9310344827586207	1.0	0.9642857142857143	27.0
3	0.8980582524271845	1.0	0.9462915601023019	185.0
4	0.9854368932038835	0.9950980392156863	0.9902439024390244	204.0
5	0.9253731343283582	0.9763779527559056	0.9501915708812261	127.0
6	0.9736842105263158	0.9910714285714286	0.9823008849557523	112.0
7	0.7058823529411765	0.8	0.7500000000000001	60.0
8	1.0	1.0	1.0	121.0
9	0.9172932330827067	0.8591549295774648	0.8872727272727273	142.0
10	1.0	1.0	1.0	135.0
11	0.9622641509433962	0.95625	0.9592476489028213	160.0
12	0.9817073170731707	0.9252873563218391	0.9526627218934912	174.0
13	1.0	1.0	1.0	102.0
14	1.0	0.9666666666666667	0.983050847457627	60.0
15	1.0	0.98796992481203	0.9939485627836611	665.0
16	0.9721115537848606	0.953125	0.9625246548323472	256.0
17	1.0	0.9555555555555556	0.9772727272727273	45.0
18	0.94	0.8867924528301887	0.912621359223301	106.0
19	0.9543147208121827	0.9791666666666666	0.9665809768637531	192.0
20	0.9538461538461539	0.9841269841269841	0.96875	126.0
21	0.9489795918367347	0.8532110091743119	0.8985507246376812	109.0
22	0.8333333333333334	0.8333333333333334	0.8333333333333334	18.0
23	1.0	0.9761904761904762	0.9879518072289156	42.0
24	0.9936406995230525	0.9858044164037855	0.9897070467141725	634.0
25	0.9948453608247423	1.0	0.9974160206718347	193.0
26	0.9545454545454546	1.0	0.9767441860465117	147.0
27	1.0	0.9818181818181818	0.9908256880733944	55.0
28	0.9076923076923077	0.9516129032258065	0.9291338582677167	248.0
29	0.8333333333333334	0.6299212598425197	0.7174887892376682	127.0
30	0.875	0.9251101321585903	0.8993576017130621	227.0
31	0.8521739130434782	0.875	0.8634361233480177	112.0
32	0.8476190476190476	0.8516746411483254	0.8496420047732698	209.0
33	0.8333333333333334	0.8994708994708994	0.8651399491094148	189.0
34	0.8344370860927153	0.7924528301886793	0.8129032258064517	159.0
35	0.9819277108433735	0.9834087481146304	0.9826676714393369	663.0
36	0.9487179487179487	0.7708333333333334	0.8505747126436781	48.0
37	0.9183673469387755	0.989010989010989	0.9523809523809524	182.0
accuracy	0.9473522640061397	0.9473522640061397	0.9473522640061397	0.9473522640061397
macro avg	0.9354492159830594	0.9286528137190814	0.9308049081872006	6515.0
weighted avg	0.9478704284613723	0.9473522640061397	0.9468203382662395	6515.0
